rule,premise,classfication,conclusion
R2648,generation-5/evolution-1/type1-psychic/type2-flying/is_tall-non/is_legendary-non,bat,Woobat
R2649,generation-5/evolution-2/type1-psychic/type2-flying/is_tall-non/is_legendary-non,courting,Swoobat
R2650,generation-5/evolution-1/type1-ground/type2-aucun/is_tall-non/is_legendary-non,mole,Drilbur
R2651,generation-5/evolution-2/type1-ground/type2-steel/is_tall-non/is_legendary-non,subterrene,Excadrill
R2652,generation-5/evolution-1/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,hearing,Audino
R2653,generation-5/evolution-1/type1-fighting/type2-aucun/is_tall-non/is_legendary-non,muscular,Timburr
R2654,generation-5/evolution-2/type1-fighting/type2-aucun/is_tall-oui/is_legendary-non,muscular,Gurdurr
R2655,generation-5/evolution-3/type1-fighting/type2-aucun/is_tall-oui/is_legendary-non,muscular,Conkeldurr
R2656,generation-5/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,tadpole,Tympole
R2657,generation-5/evolution-2/type1-water/type2-ground/is_tall-non/is_legendary-non,vibration,Palpitoad
R2658,generation-5/evolution-3/type1-water/type2-ground/is_tall-oui/is_legendary-non,vibration,Seismitoad
R2659,generation-5/evolution-1/type1-fighting/type2-aucun/is_tall-oui/is_legendary-non,judo,Throh
R2660,generation-5/evolution-1/type1-fighting/type2-aucun/is_tall-oui/is_legendary-non,karate,Sawk
R2661,generation-5/evolution-1/type1-bug/type2-grass/is_tall-non/is_legendary-non,sewing,Sewaddle
R2662,generation-5/evolution-2/type1-bug/type2-grass/is_tall-non/is_legendary-non,leaf-wrapped,Swadloon
R2663,generation-5/evolution-3/type1-bug/type2-grass/is_tall-oui/is_legendary-non,nurturing,Leavanny
R2664,generation-5/evolution-1/type1-bug/type2-poison/is_tall-non/is_legendary-non,centipede,Venipede
R2665,generation-5/evolution-2/type1-bug/type2-poison/is_tall-oui/is_legendary-non,curlipede,Whirlipede
R2666,generation-5/evolution-3/type1-bug/type2-poison/is_tall-oui/is_legendary-non,megapede,Scolipede
R2667,generation-5/evolution-1/type1-grass/type2-fairy/is_tall-non/is_legendary-non,cotton puff,Cottonee
R2668,generation-5/evolution-2/type1-grass/type2-fairy/is_tall-non/is_legendary-non,windveiled,Whimsicott
R2669,generation-5/evolution-1/type1-grass/type2-aucun/is_tall-non/is_legendary-non,bulb,Petilil
R2670,generation-5/evolution-2/type1-grass/type2-aucun/is_tall-oui/is_legendary-non,flowering,Lilligant
R2671,generation-5/evolution-1/type1-water/type2-aucun/is_tall-oui/is_legendary-non,hostile,Basculin
R2672,generation-5/evolution-1/type1-ground/type2-dark/is_tall-non/is_legendary-non,desert croc,Sandile
R2673,generation-5/evolution-2/type1-ground/type2-dark/is_tall-oui/is_legendary-non,desert croc,Krokorok
R2674,generation-5/evolution-3/type1-ground/type2-dark/is_tall-oui/is_legendary-non,intimidation,Krookodile
R2675,generation-5/evolution-1/type1-fire/type2-aucun/is_tall-non/is_legendary-non,zen charm,Darumaka
R2676,generation-5/evolution-2/type1-fire/type2-fire/is_tall-oui/is_legendary-non,blazing,Darmanitan
R2677,generation-5/evolution-1/type1-grass/type2-aucun/is_tall-oui/is_legendary-non,cactus,Maractus
R2678,generation-5/evolution-1/type1-bug/type2-rock/is_tall-non/is_legendary-non,rock inn,Dwebble
R2679,generation-5/evolution-2/type1-bug/type2-rock/is_tall-oui/is_legendary-non,stone home,Crustle
R2680,generation-5/evolution-1/type1-dark/type2-fighting/is_tall-non/is_legendary-non,shedding,Scraggy
R2681,generation-5/evolution-2/type1-dark/type2-fighting/is_tall-oui/is_legendary-non,hoodlum,Scrafty
R2682,generation-5/evolution-1/type1-psychic/type2-flying/is_tall-oui/is_legendary-non,avianoid,Sigilyph
R2683,generation-5/evolution-1/type1-ghost/type2-aucun/is_tall-non/is_legendary-non,spirit,Yamask
R2684,generation-5/evolution-2/type1-ghost/type2-aucun/is_tall-oui/is_legendary-non,coffin,Cofagrigus
R2685,generation-5/evolution-1/type1-water/type2-rock/is_tall-non/is_legendary-non,prototurtle,Tirtouga
R2686,generation-5/evolution-2/type1-water/type2-rock/is_tall-oui/is_legendary-non,prototurtle,Carracosta
R2687,generation-5/evolution-1/type1-rock/type2-flying/is_tall-non/is_legendary-non,first bird,Archen
R2688,generation-5/evolution-2/type1-rock/type2-flying/is_tall-oui/is_legendary-non,first bird,Archeops
R2689,generation-5/evolution-1/type1-poison/type2-aucun/is_tall-non/is_legendary-non,trash bag,Trubbish
R2690,generation-5/evolution-2/type1-poison/type2-aucun/is_tall-oui/is_legendary-non,trash heap,Garbodor
R2691,generation-5/evolution-1/type1-dark/type2-aucun/is_tall-non/is_legendary-non,tricky fox,Zorua
R2692,generation-5/evolution-2/type1-dark/type2-aucun/is_tall-oui/is_legendary-non,illusion fox,Zoroark
R2693,generation-5/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,chinchilla,Minccino
R2694,generation-5/evolution-2/type1-normal/type2-aucun/is_tall-non/is_legendary-non,scarf,Cinccino
R2695,generation-5/evolution-1/type1-psychic/type2-aucun/is_tall-non/is_legendary-non,fixation,Gothita
R2696,generation-5/evolution-2/type1-psychic/type2-aucun/is_tall-non/is_legendary-non,manipulate,Gothorita
R2697,generation-5/evolution-3/type1-psychic/type2-aucun/is_tall-oui/is_legendary-non,astral body,Gothitelle
R2698,generation-5/evolution-1/type1-psychic/type2-aucun/is_tall-non/is_legendary-non,cell,Solosis
R2699,generation-5/evolution-2/type1-psychic/type2-aucun/is_tall-non/is_legendary-non,mitosis,Duosion
R2700,generation-5/evolution-3/type1-psychic/type2-aucun/is_tall-oui/is_legendary-non,multiplying,Reuniclus
R2701,generation-5/evolution-1/type1-water/type2-flying/is_tall-non/is_legendary-non,water bird,Ducklett
R2702,generation-5/evolution-2/type1-water/type2-flying/is_tall-oui/is_legendary-non,white bird,Swanna
R2703,generation-5/evolution-1/type1-ice/type2-aucun/is_tall-non/is_legendary-non,fresh snow,Vanillite
R2704,generation-5/evolution-2/type1-ice/type2-aucun/is_tall-oui/is_legendary-non,icy snow,Vanillish
R2705,generation-5/evolution-3/type1-ice/type2-aucun/is_tall-oui/is_legendary-non,snowstorm,Vanilluxe
R2706,generation-5/evolution-1/type1-normal/type2-grass/is_tall-non/is_legendary-non,season,Deerling
R2707,generation-5/evolution-2/type1-normal/type2-grass/is_tall-oui/is_legendary-non,season,Sawsbuck
R2708,generation-5/evolution-1/type1-electric/type2-flying/is_tall-non/is_legendary-non,sky squirrel,Emolga
R2709,generation-5/evolution-1/type1-bug/type2-aucun/is_tall-non/is_legendary-non,clamping,Karrablast
R2710,generation-5/evolution-2/type1-bug/type2-steel/is_tall-oui/is_legendary-non,cavalry,Escavalier
R2711,generation-5/evolution-1/type1-grass/type2-poison/is_tall-non/is_legendary-non,mushroom,Foongus
R2712,generation-5/evolution-2/type1-grass/type2-poison/is_tall-non/is_legendary-non,mushroom,Amoonguss
R2713,generation-5/evolution-1/type1-water/type2-ghost/is_tall-oui/is_legendary-non,floating,Frillish
R2714,generation-5/evolution-2/type1-water/type2-ghost/is_tall-oui/is_legendary-non,floating,Jellicent
R2715,generation-5/evolution-1/type1-water/type2-aucun/is_tall-oui/is_legendary-non,caring,Alomomola
R2716,generation-5/evolution-1/type1-bug/type2-electric/is_tall-non/is_legendary-non,attaching,Joltik
R2717,generation-5/evolution-2/type1-bug/type2-electric/is_tall-non/is_legendary-non,elespider,Galvantula
R2718,generation-5/evolution-1/type1-grass/type2-steel/is_tall-non/is_legendary-non,thorn seed,Ferroseed
R2719,generation-5/evolution-2/type1-grass/type2-steel/is_tall-oui/is_legendary-non,thorn pod,Ferrothorn
R2720,generation-5/evolution-1/type1-steel/type2-aucun/is_tall-non/is_legendary-non,gear,Klink
R2721,generation-5/evolution-2/type1-steel/type2-aucun/is_tall-non/is_legendary-non,gear,Klang
R2722,generation-5/evolution-3/type1-steel/type2-aucun/is_tall-non/is_legendary-non,gear,Klinklang
R2723,generation-5/evolution-1/type1-electric/type2-aucun/is_tall-non/is_legendary-non,elefish,Tynamo
R2724,generation-5/evolution-2/type1-electric/type2-aucun/is_tall-oui/is_legendary-non,elefish,Eelektrik
R2725,generation-5/evolution-3/type1-electric/type2-aucun/is_tall-oui/is_legendary-non,elefish,Eelektross
R2726,generation-5/evolution-1/type1-psychic/type2-aucun/is_tall-non/is_legendary-non,cerebral,Elgyem
R2727,generation-5/evolution-2/type1-psychic/type2-aucun/is_tall-oui/is_legendary-non,cerebral,Beheeyem
R2728,generation-5/evolution-1/type1-ghost/type2-fire/is_tall-non/is_legendary-non,candle,Litwick
R2729,generation-5/evolution-2/type1-ghost/type2-fire/is_tall-non/is_legendary-non,lamp,Lampent
R2730,generation-5/evolution-3/type1-ghost/type2-fire/is_tall-oui/is_legendary-non,luring,Chandelure
R2731,generation-5/evolution-1/type1-dragon/type2-aucun/is_tall-non/is_legendary-non,tusk,Axew
R2732,generation-5/evolution-2/type1-dragon/type2-aucun/is_tall-oui/is_legendary-non,axe jaw,Fraxure
R2733,generation-5/evolution-3/type1-dragon/type2-aucun/is_tall-oui/is_legendary-non,axe jaw,Haxorus
R2734,generation-5/evolution-1/type1-ice/type2-aucun/is_tall-non/is_legendary-non,chill,Cubchoo
R2735,generation-5/evolution-2/type1-ice/type2-aucun/is_tall-oui/is_legendary-non,freezing,Beartic
R2736,generation-5/evolution-1/type1-ice/type2-aucun/is_tall-oui/is_legendary-non,crystallizing,Cryogonal
R2737,generation-5/evolution-1/type1-bug/type2-aucun/is_tall-non/is_legendary-non,snail,Shelmet
R2738,generation-5/evolution-2/type1-bug/type2-aucun/is_tall-non/is_legendary-non,shell out,Accelgor
R2739,generation-5/evolution-1/type1-ground/type2-electric/is_tall-non/is_legendary-non,trap,Stunfisk
R2740,generation-5/evolution-1/type1-fighting/type2-aucun/is_tall-non/is_legendary-non,martial arts,Mienfoo
R2741,generation-5/evolution-2/type1-fighting/type2-aucun/is_tall-oui/is_legendary-non,martial arts,Mienshao
R2742,generation-5/evolution-1/type1-dragon/type2-aucun/is_tall-oui/is_legendary-non,cave,Druddigon
R2743,generation-5/evolution-1/type1-ground/type2-ghost/is_tall-oui/is_legendary-non,automaton,Golett
R2744,generation-5/evolution-2/type1-ground/type2-ghost/is_tall-oui/is_legendary-non,automaton,Golurk
R2745,generation-5/evolution-1/type1-dark/type2-steel/is_tall-non/is_legendary-non,sharp blade,Pawniard
R2746,generation-5/evolution-2/type1-dark/type2-steel/is_tall-oui/is_legendary-non,sword blade,Bisharp
R2747,generation-5/evolution-1/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,bash buffalo,Bouffalant
R2748,generation-5/evolution-1/type1-normal/type2-flying/is_tall-non/is_legendary-non,eaglet,Rufflet
R2749,generation-5/evolution-2/type1-normal/type2-flying/is_tall-oui/is_legendary-non,valiant,Braviary
R2750,generation-5/evolution-1/type1-dark/type2-flying/is_tall-non/is_legendary-non,diapered,Vullaby
R2751,generation-5/evolution-2/type1-dark/type2-flying/is_tall-oui/is_legendary-non,bone vulture,Mandibuzz
R2752,generation-5/evolution-1/type1-fire/type2-aucun/is_tall-oui/is_legendary-non,anteater,Heatmor
R2753,generation-5/evolution-1/type1-bug/type2-steel/is_tall-non/is_legendary-non,iron ant,Durant
R2754,generation-5/evolution-1/type1-dark/type2-dragon/is_tall-non/is_legendary-non,irate,Deino
R2755,generation-5/evolution-2/type1-dark/type2-dragon/is_tall-oui/is_legendary-non,hostile,Zweilous
R2756,generation-5/evolution-3/type1-dark/type2-dragon/is_tall-oui/is_legendary-non,brutal,Hydreigon
R2757,generation-5/evolution-1/type1-bug/type2-fire/is_tall-oui/is_legendary-non,torch,Larvesta
R2758,generation-5/evolution-2/type1-bug/type2-fire/is_tall-oui/is_legendary-non,sun,Volcarona
R2759,generation-5/evolution-1/type1-steel/type2-fighting/is_tall-oui/is_legendary-oui,iron will,Cobalion
R2760,generation-5/evolution-1/type1-rock/type2-fighting/is_tall-oui/is_legendary-oui,cavern,Terrakion
R2761,generation-5/evolution-1/type1-grass/type2-fighting/is_tall-oui/is_legendary-oui,grassland,Virizion
R2762,generation-5/evolution-1/type1-flying/type2-aucun/is_tall-oui/is_legendary-oui,cyclone,Tornadus
R2763,generation-5/evolution-1/type1-electric/type2-flying/is_tall-oui/is_legendary-oui,bolt strike,Thundurus
R2764,generation-5/evolution-1/type1-dragon/type2-fire/is_tall-oui/is_legendary-oui,vast white,Reshiram
R2765,generation-5/evolution-1/type1-dragon/type2-electric/is_tall-oui/is_legendary-oui,deep black,Zekrom
R2766,generation-5/evolution-1/type1-ground/type2-flying/is_tall-oui/is_legendary-oui,abundance,Landorus
R2767,generation-5/evolution-1/type1-dragon/type2-ice/is_tall-oui/is_legendary-oui,boundary,Kyurem
R2768,generation-5/evolution-1/type1-water/type2-fighting/is_tall-oui/is_legendary-oui,colt,Keldeo
R2769,generation-5/evolution-1/type1-normal/type2-psychic/is_tall-non/is_legendary-oui,melody,Meloetta
R2770,generation-5/evolution-1/type1-bug/type2-steel/is_tall-oui/is_legendary-oui,paleozoic,Genesect
R2771,generation-6/evolution-1/type1-grass/type2-aucun/is_tall-non/is_legendary-non,spiky nut,Chespin
R2772,generation-6/evolution-2/type1-grass/type2-aucun/is_tall-non/is_legendary-non,spiny armor,Quilladin
R2773,generation-6/evolution-3/type1-grass/type2-fighting/is_tall-oui/is_legendary-non,spiny armor,Chesnaught
R2774,generation-6/evolution-1/type1-fire/type2-aucun/is_tall-non/is_legendary-non,fox,Fennekin
R2775,generation-6/evolution-2/type1-fire/type2-aucun/is_tall-oui/is_legendary-non,fox,Braixen
R2776,generation-6/evolution-3/type1-fire/type2-psychic/is_tall-oui/is_legendary-non,fox,Delphox
R2777,generation-6/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,bubble frog,Froakie
R2778,generation-6/evolution-2/type1-water/type2-aucun/is_tall-non/is_legendary-non,bubble frog,Frogadier
R2779,generation-6/evolution-3/type1-water/type2-dark/is_tall-oui/is_legendary-non,ninja,Greninja
R2780,generation-6/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,digging,Bunnelby
R2781,generation-6/evolution-2/type1-normal/type2-ground/is_tall-oui/is_legendary-non,digging,Diggersby
R2782,generation-6/evolution-1/type1-normal/type2-flying/is_tall-non/is_legendary-non,tiny robin,Fletchling
R2783,generation-6/evolution-2/type1-fire/type2-flying/is_tall-non/is_legendary-non,ember,Fletchinder
R2784,generation-6/evolution-3/type1-fire/type2-flying/is_tall-oui/is_legendary-non,scorching,Talonflame
R2785,generation-6/evolution-1/type1-bug/type2-aucun/is_tall-non/is_legendary-non,scatterdust,Scatterbug
R2786,generation-6/evolution-2/type1-bug/type2-aucun/is_tall-non/is_legendary-non,scatterdust,Spewpa
R2787,generation-6/evolution-3/type1-bug/type2-flying/is_tall-oui/is_legendary-non,scale,Vivillon
R2788,generation-6/evolution-1/type1-fire/type2-normal/is_tall-non/is_legendary-non,lion cub,Litleo
R2789,generation-6/evolution-2/type1-fire/type2-normal/is_tall-oui/is_legendary-non,royal,Pyroar
R2790,generation-6/evolution-1/type1-fairy/type2-aucun/is_tall-non/is_legendary-non,single bloom,Flabébé
R2791,generation-6/evolution-2/type1-fairy/type2-aucun/is_tall-non/is_legendary-non,fairy,Floette
R2792,generation-6/evolution-3/type1-fairy/type2-aucun/is_tall-oui/is_legendary-non,garden,Florges
R2793,generation-6/evolution-1/type1-grass/type2-aucun/is_tall-non/is_legendary-non,mount,Skiddo
R2794,generation-6/evolution-2/type1-grass/type2-aucun/is_tall-oui/is_legendary-non,mount,Gogoat
R2795,generation-6/evolution-1/type1-fighting/type2-aucun/is_tall-non/is_legendary-non,playful,Pancham
R2796,generation-6/evolution-2/type1-fighting/type2-dark/is_tall-oui/is_legendary-non,daunting,Pangoro
R2797,generation-6/evolution-1/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,poodle,Furfrou
R2798,generation-6/evolution-1/type1-psychic/type2-aucun/is_tall-non/is_legendary-non,restraint,Espurr
R2799,generation-6/evolution-2/type1-psychic/type2-aucun/is_tall-non/is_legendary-non,constraint,Meowstic
R2800,generation-6/evolution-1/type1-steel/type2-ghost/is_tall-non/is_legendary-non,sword,Honedge
R2801,generation-6/evolution-2/type1-steel/type2-ghost/is_tall-non/is_legendary-non,sword,Doublade
R2802,generation-6/evolution-3/type1-steel/type2-ghost/is_tall-oui/is_legendary-non,royal sword,Aegislash
R2803,generation-6/evolution-1/type1-fairy/type2-aucun/is_tall-non/is_legendary-non,perfume,Spritzee
R2804,generation-6/evolution-2/type1-fairy/type2-aucun/is_tall-non/is_legendary-non,fragrance,Aromatisse
R2805,generation-6/evolution-1/type1-fairy/type2-aucun/is_tall-non/is_legendary-non,cotton candy,Swirlix
R2806,generation-6/evolution-2/type1-fairy/type2-aucun/is_tall-non/is_legendary-non,meringue,Slurpuff
R2807,generation-6/evolution-1/type1-dark/type2-psychic/is_tall-non/is_legendary-non,revolving,Inkay
R2808,generation-6/evolution-2/type1-dark/type2-psychic/is_tall-oui/is_legendary-non,overturning,Malamar
R2809,generation-6/evolution-1/type1-rock/type2-water/is_tall-non/is_legendary-non,two-handed,Binacle
R2810,generation-6/evolution-2/type1-rock/type2-water/is_tall-oui/is_legendary-non,collective,Barbaracle
R2811,generation-6/evolution-1/type1-poison/type2-water/is_tall-non/is_legendary-non,mock kelp,Skrelp
R2812,generation-6/evolution-2/type1-poison/type2-dragon/is_tall-oui/is_legendary-non,mock kelp,Dragalge
R2813,generation-6/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,water gun,Clauncher
R2814,generation-6/evolution-2/type1-water/type2-aucun/is_tall-oui/is_legendary-non,howitzer,Clawitzer
R2815,generation-6/evolution-1/type1-electric/type2-normal/is_tall-non/is_legendary-non,generator,Helioptile
R2816,generation-6/evolution-2/type1-electric/type2-normal/is_tall-oui/is_legendary-non,generator,Heliolisk
R2817,generation-6/evolution-1/type1-rock/type2-dragon/is_tall-non/is_legendary-non,royal heir,Tyrunt
R2818,generation-6/evolution-2/type1-rock/type2-dragon/is_tall-oui/is_legendary-non,despot,Tyrantrum
R2819,generation-6/evolution-1/type1-rock/type2-ice/is_tall-oui/is_legendary-non,tundra,Amaura
R2820,generation-6/evolution-2/type1-rock/type2-ice/is_tall-oui/is_legendary-non,tundra,Aurorus
R2821,generation-6/evolution-2/type1-fairy/type2-aucun/is_tall-oui/is_legendary-non,intertwining,Sylveon
R2822,generation-6/evolution-1/type1-fighting/type2-flying/is_tall-non/is_legendary-non,wrestling,Hawlucha
R2823,generation-6/evolution-1/type1-electric/type2-fairy/is_tall-non/is_legendary-non,antenna,Dedenne
R2824,generation-6/evolution-1/type1-rock/type2-fairy/is_tall-non/is_legendary-non,jewel,Carbink
R2825,generation-6/evolution-1/type1-dragon/type2-aucun/is_tall-non/is_legendary-non,soft tissue,Goomy
R2826,generation-6/evolution-2/type1-dragon/type2-aucun/is_tall-non/is_legendary-non,soft tissue,Sliggoo
R2827,generation-6/evolution-3/type1-dragon/type2-aucun/is_tall-oui/is_legendary-non,dragon,Goodra
R2828,generation-6/evolution-1/type1-steel/type2-fairy/is_tall-non/is_legendary-non,key ring,Klefki
R2829,generation-6/evolution-1/type1-ghost/type2-grass/is_tall-non/is_legendary-non,stump,Phantump
R2830,generation-6/evolution-2/type1-ghost/type2-grass/is_tall-oui/is_legendary-non,elder tree,Trevenant
R2831,generation-6/evolution-1/type1-ghost/type2-grass/is_tall-non/is_legendary-non,pumpkin,Pumpkaboo
R2832,generation-6/evolution-2/type1-ghost/type2-grass/is_tall-oui/is_legendary-non,pumpkin,Gourgeist
R2833,generation-6/evolution-1/type1-ice/type2-aucun/is_tall-oui/is_legendary-non,ice chunk,Bergmite
R2834,generation-6/evolution-2/type1-ice/type2-aucun/is_tall-oui/is_legendary-non,iceberg,Avalugg
R2835,generation-6/evolution-1/type1-flying/type2-dragon/is_tall-non/is_legendary-non,sound wave,Noibat
R2836,generation-6/evolution-2/type1-flying/type2-dragon/is_tall-oui/is_legendary-non,sound wave,Noivern
R2837,generation-6/evolution-1/type1-fairy/type2-aucun/is_tall-oui/is_legendary-oui,life,Xerneas
R2838,generation-6/evolution-1/type1-dark/type2-flying/is_tall-oui/is_legendary-oui,destruction,Yveltal
R2839,generation-6/evolution-1/type1-dragon/type2-ground/is_tall-oui/is_legendary-oui,order,Zygarde
R2840,generation-6/evolution-1/type1-rock/type2-fairy/is_tall-non/is_legendary-oui,jewel,Diancie
R2841,generation-6/evolution-1/type1-psychic/type2-ghost/is_tall-non/is_legendary-oui,mischief pokémon (confined)djinn pokémonn,Hoopa
R2842,generation-6/evolution-1/type1-fire/type2-water/is_tall-oui/is_legendary-oui,steam,Volcanion
R2843,generation-7/evolution-1/type1-grass/type2-flying/is_tall-non/is_legendary-non,grass quill,Rowlet
R2844,generation-7/evolution-2/type1-grass/type2-flying/is_tall-non/is_legendary-non,blade quill,Dartrix
R2845,generation-7/evolution-3/type1-grass/type2-ghost/is_tall-oui/is_legendary-non,arrow quill,Decidueye
R2846,generation-7/evolution-1/type1-fire/type2-aucun/is_tall-non/is_legendary-non,fire cat,Litten
R2847,generation-7/evolution-2/type1-fire/type2-aucun/is_tall-non/is_legendary-non,fire cat,Torracat
R2848,generation-7/evolution-3/type1-fire/type2-dark/is_tall-oui/is_legendary-non,heel,Incineroar
R2849,generation-7/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,sea lion,Popplio
R2850,generation-7/evolution-2/type1-water/type2-aucun/is_tall-non/is_legendary-non,pop star,Brionne
R2851,generation-7/evolution-3/type1-water/type2-fairy/is_tall-oui/is_legendary-non,soloist,Primarina
R2852,generation-7/evolution-1/type1-normal/type2-flying/is_tall-non/is_legendary-non,woodpecker,Pikipek
R2853,generation-7/evolution-2/type1-normal/type2-flying/is_tall-non/is_legendary-non,bugle beak,Trumbeak
R2854,generation-7/evolution-3/type1-normal/type2-flying/is_tall-oui/is_legendary-non,cannon,Toucannon
R2855,generation-7/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,loitering,Yungoos
R2856,generation-7/evolution-2/type1-normal/type2-aucun/is_tall-non/is_legendary-non,stakeout,Gumshoos
R2857,generation-7/evolution-1/type1-bug/type2-aucun/is_tall-non/is_legendary-non,larva,Grubbin
R2858,generation-7/evolution-2/type1-bug/type2-electric/is_tall-non/is_legendary-non,battery,Charjabug
R2859,generation-7/evolution-3/type1-bug/type2-electric/is_tall-oui/is_legendary-non,stag beetle,Vikavolt
R2860,generation-7/evolution-1/type1-fighting/type2-aucun/is_tall-non/is_legendary-non,boxing,Crabrawler
R2861,generation-7/evolution-2/type1-fighting/type2-ice/is_tall-oui/is_legendary-non,woolly crab,Crabominable
R2862,generation-7/evolution-1/type1-fire/type2-flying/is_tall-non/is_legendary-non,dancing,Oricorio
R2863,generation-7/evolution-1/type1-bug/type2-fairy/is_tall-non/is_legendary-non,bee fly,Cutiefly
R2864,generation-7/evolution-2/type1-bug/type2-fairy/is_tall-non/is_legendary-non,bee fly,Ribombee
R2865,generation-7/evolution-1/type1-rock/type2-aucun/is_tall-non/is_legendary-non,puppy,Rockruff
R2866,generation-7/evolution-2/type1-rock/type2-aucun/is_tall-non/is_legendary-non,wolf,Lycanroc
R2867,generation-7/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,small fry,Wishiwashi
R2868,generation-7/evolution-1/type1-poison/type2-water/is_tall-non/is_legendary-non,brutal star,Mareanie
R2869,generation-7/evolution-2/type1-poison/type2-water/is_tall-non/is_legendary-non,brutal star,Toxapex
R2870,generation-7/evolution-1/type1-ground/type2-aucun/is_tall-oui/is_legendary-non,donkey,Mudbray
R2871,generation-7/evolution-2/type1-ground/type2-aucun/is_tall-oui/is_legendary-non,draft horse,Mudsdale
R2872,generation-7/evolution-1/type1-water/type2-bug/is_tall-non/is_legendary-non,water bubble,Dewpider
R2873,generation-7/evolution-2/type1-water/type2-bug/is_tall-oui/is_legendary-non,water bubble,Araquanid
R2874,generation-7/evolution-1/type1-grass/type2-aucun/is_tall-non/is_legendary-non,sickle grass,Fomantis
R2875,generation-7/evolution-2/type1-grass/type2-aucun/is_tall-non/is_legendary-non,bloom sickle,Lurantis
R2876,generation-7/evolution-1/type1-grass/type2-fairy/is_tall-non/is_legendary-non,illuminating,Morelull
R2877,generation-7/evolution-2/type1-grass/type2-fairy/is_tall-oui/is_legendary-non,illuminating,Shiinotic
R2878,generation-7/evolution-1/type1-poison/type2-fire/is_tall-non/is_legendary-non,toxic lizard,Salandit
R2879,generation-7/evolution-2/type1-poison/type2-fire/is_tall-oui/is_legendary-non,toxic lizard,Salazzle
R2880,generation-7/evolution-1/type1-normal/type2-fighting/is_tall-non/is_legendary-non,flailing,Stufful
R2881,generation-7/evolution-2/type1-normal/type2-fighting/is_tall-oui/is_legendary-non,strong arm,Bewear
R2882,generation-7/evolution-1/type1-grass/type2-aucun/is_tall-non/is_legendary-non,fruit,Bounsweet
R2883,generation-7/evolution-2/type1-grass/type2-aucun/is_tall-non/is_legendary-non,fruit,Steenee
R2884,generation-7/evolution-3/type1-grass/type2-aucun/is_tall-oui/is_legendary-non,fruit,Tsareena
R2885,generation-7/evolution-1/type1-fairy/type2-aucun/is_tall-non/is_legendary-non,posy picker,Comfey
R2886,generation-7/evolution-1/type1-normal/type2-psychic/is_tall-oui/is_legendary-non,sage,Oranguru
R2887,generation-7/evolution-1/type1-fighting/type2-aucun/is_tall-oui/is_legendary-non,teamwork,Passimian
R2888,generation-7/evolution-1/type1-bug/type2-water/is_tall-non/is_legendary-non,turn tail,Wimpod
R2889,generation-7/evolution-2/type1-bug/type2-water/is_tall-oui/is_legendary-non,hard scale,Golisopod
R2890,generation-7/evolution-1/type1-ghost/type2-ground/is_tall-non/is_legendary-non,sand heap,Sandygast
R2891,generation-7/evolution-2/type1-ghost/type2-ground/is_tall-oui/is_legendary-non,sand castle,Palossand
R2892,generation-7/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,sea cucumber,Pyukumuku
R2893,generation-7/evolution-1/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,synthetic,Type: Null
R2894,generation-7/evolution-2/type1-normal/type2-aucun/is_tall-oui/is_legendary-non,synthetic,Silvally
R2895,generation-7/evolution-1/type1-rock/type2-flying/is_tall-non/is_legendary-non,meteor,Minior
R2896,generation-7/evolution-1/type1-normal/type2-aucun/is_tall-non/is_legendary-non,drowsing,Komala
R2897,generation-7/evolution-1/type1-fire/type2-dragon/is_tall-oui/is_legendary-non,blast turtle,Turtonator
R2898,generation-7/evolution-1/type1-electric/type2-steel/is_tall-non/is_legendary-non,roly-poly,Togedemaru
R2899,generation-7/evolution-1/type1-ghost/type2-fairy/is_tall-non/is_legendary-non,disguise,Mimikyu
R2900,generation-7/evolution-1/type1-water/type2-psychic/is_tall-non/is_legendary-non,gnash teeth,Bruxish
R2901,generation-7/evolution-1/type1-normal/type2-dragon/is_tall-oui/is_legendary-non,placid,Drampa
R2902,generation-7/evolution-1/type1-ghost/type2-grass/is_tall-oui/is_legendary-non,sea creeper,Dhelmise
R2903,generation-7/evolution-1/type1-dragon/type2-aucun/is_tall-non/is_legendary-non,scaly,Jangmo-o
R2904,generation-7/evolution-2/type1-dragon/type2-fighting/is_tall-oui/is_legendary-non,scaly,Hakamo-o
R2905,generation-7/evolution-3/type1-dragon/type2-fighting/is_tall-oui/is_legendary-non,scaly,Kommo-o
R2906,generation-7/evolution-1/type1-electric/type2-fairy/is_tall-oui/is_legendary-oui,land spirit,Tapu Koko
R2907,generation-7/evolution-1/type1-psychic/type2-fairy/is_tall-oui/is_legendary-oui,land spirit,Tapu Lele
